frankly I'll be honest, Chouard he's a good guy he has ideas 
he's a good guy he has ideas but he is indoctrinated by 
has ideas but he is indoctrinated by his extreme right friends when 
indoctrinated by his extreme right friends when he begins to speak of 
friends when he begins to speak of borders we sense that goes 
speak of borders we sense that goes beyond its subject, criticizing globalism 
that goes beyond its subject, criticizing globalism it is one thing but 
criticizing globalism it is one thing but you have put your finger 
thing but you have put your finger on specific items to get 
 finally good because you stop talking about it, all is not 
stop talking about it, all is not throwing as many find common 
 Is not a subject that is not debate here I am 
 Then keep only what brings us Sent, I hardly supports the 
brings us Sent, I hardly supports the inaccuracies then I will not 
supports the inaccuracies then I will not let what I see: Etienne 
will not let what I see: Etienne Chouard's borders especially in reading 
see: Etienne Chouard's borders especially in reading Debray "Praise border" which has 
in reading Debray "Praise border" which has nothing to do with a 
me what bothers me is that countries such as France benefiting from 
that countries such as France benefiting from weak currencies (eg in Africa) 
benefiting from weak currencies (eg in Africa) to steal the resources of 
 what bothers me is that the last section of the preamble 
that the last section of the preamble 46 is still not respected 
) while it was inspired by a speech of 44 and the 
by a speech of 44 and the blood flowed, Africa has sacrificed 
and the blood flowed, Africa has sacrificed his son for Europe and 
has sacrificed his son for Europe and France and today they are 
Europe and France and today they are treated as a sub-continent and 
they are treated as a sub-continent and me it gives me the 
 I watched the debate between firstly the economist and philosopher Fric 
between firstly the economist and philosopher Fric Lordon and secondly anthropologist David 
 I was impressed by their difference in that Lordon seemed to 
their difference in that Lordon seemed to have a kind of political 
seemed to have a kind of political program (end of private ownership 
of political program (end of private ownership of means of production, for 
private ownership of means of production, for example) while Graeber simply wanted 
production, for example) while Graeber simply wanted "to be left to the 
@Reveur Yes that is what I say it critical for the eu 
I say it critical for the eu borders too porous, as the 
Glad to raise the level Seriously, what bothers me in the first 
Seriously, what bothers me in the first place is that there is 
the first place is that there is inconsiderable number of injustices in 
 In this sense, I fully support the idea of ??convergence of 
The question "what to bring together the struggles?" and I bring a 
together the struggles?" and I bring a solution in this post: https://pouvoiraupeuple 
Fric Lordon said: "In France, someone who says that he is neither 
someone who says that he is neither right nor left is invariably 
The problem is that say "left" or "right" or "center" does not 
"left" or "right" or "center" does not suggest a popular solution, because 
 What I am advocating in this post is to put aside 
in this post is to put aside labels (eg I'm libertarian in 
put aside labels (eg I'm libertarian in terms of moral values ??but 
libertarian in terms of moral values ??but I do not put it 
values ??but I do not put it forward because it is cleaving) 
I do not wish to cleave a moral, but to unite on 
cleave a moral, but to unite on a meta-political struggle that is 
unite on a meta-political struggle that is to say, a struggle that 
that is to say, a struggle that transcends current divisions and will 
struggle that transcends current divisions and will allow us to unite on 
and will allow us to unite on the type of social and 
unite on the type of social and institutional structures that we wish 
A left and right there are people who want to fight against 
are people who want to fight against neoliberalism, respect freedom of expression, 
To determine and / or provide all the values ??and objectives that 
provide all the values ??and objectives that unite us, do not hesitate 
hello brother, I am going there soon The only ideology that go 
there soon The only ideology that go away is one that temporarily 
that go away is one that temporarily puts aside all the others, 
that temporarily puts aside all the others, by uniting to implement democratic 
I just read a little up there anthony, the "end of private 
up there anthony, the "end of private ownership of the means of 
of private ownership of the means of production" is not an idea 
means of production" is not an idea invented by Lordon, I do 
an idea invented by Lordon, I do not know if it can 
but it's that I'm not you, you can not determine "meta-democratic political 
you, you can not determine "meta-democratic political structures we need" without ideological 
"An ideology is a predefined system of ideas, also called categories, from 
system of ideas, also called categories, from which reality is analyzed, as 
categories, from which reality is analyzed, as opposed to an intuitive knowledge 
 How do you succeed in extracting an ideology 'unique' by inspiring 
in extracting an ideology 'unique' by inspiring you to such thinkers: Franis 
by inspiring you to such thinkers: Franis Asselineau, Sylvain Baron, Aurien Bernier, 
thinkers: Franis Asselineau, Sylvain Baron, Aurien Bernier, Olivier Berruyer, Jean Bricmont, ienne 
Aurien Bernier, Olivier Berruyer, Jean Bricmont, ienne Chouard Francis Cousin, Michel Collon, 
Bricmont, ienne Chouard Francis Cousin, Michel Collon, Franck Lepage Fric Lordon, Jacques 
 That is to say, how one sets superior rules for operation 
I think we can not speak of "democracy" without a fundamental critique 
speak of "democracy" without a fundamental critique of the values ??that support 
there are hundreds of ways to organize the votes and they influence 
 As long as we imagine voting to establish power over a 
imagine voting to establish power over a majority, it will not change 
and there are mass influence techniques, I think of astroturfing (those who 
techniques, I think of astroturfing (those who have access to research UNmotor 
besancon: they are easily influenced because the system ensures that we are 
that means everything and nothing impressionable, the problem is rather that a 
impressionable, the problem is rather that a minority of dominant influence of 
the mechanisms of mass influence are identifiable and possible to remove (I 
are identifiable and possible to remove (I think the media held by 
remove (I think the media held by the richest of the richest) 
No, the problem is that many people prefer the matter to TV 
many people prefer the matter to TV places to take tte on 
to TV places to take tte on subjects of which they were 
 We can not have a democratic system if we stupefies watching 
a democratic system if we stupefies watching TV and resigns what is 
stupefies watching TV and resigns what is happening in our neighborhood, city, 
the television industries consciously play with the scientific knowledge of addiction to 
Feel free to carry on your conversations #blabla to facilitate the arrival 
if you see the audience as victims of images dealers, suddenly, they 
as victims of images dealers, suddenly, they are far less responsible ^^ 
ah ok I arrived, I thought it was nice to be greeted 
Perhaps you like me to come to the conclusion that leaving the 
come to the conclusion that leaving the majority choose is inefficase, essential 
leaving the majority choose is inefficase, essential questions are asked to people 
inefficase, essential questions are asked to people who know nothing there and 
to people who know nothing there and it is expected that the 
there and it is expected that the most popular answer is the 
not you see, it is the logical consequence to a concrete problem 
besancon: it is to qualify but I also see more elections as 
but I also see more elections as a power against (someone too 
elections as a power against (someone too unpopular will not be renewed) 
(someone too unpopular will not be renewed) than a real exercise of 
besancon defends negative the appearance of a strong leader, which is the 
of a strong leader, which is the program of the extreme right, 
is the program of the extreme right, who tries, as we know, 
 It starts from the recognition that we share (the vote does 
recognition that we share (the vote does not) to bring us to 
vote does not) to bring us to "we need a leader who 
us to "we need a leader who knows better than the others" 
for me democracy is not only of all exercise our power by 
only of all exercise our power by the state apparatus but also 
power by the state apparatus but also to limit its power and 
but also to limit its power and guarantee civil liberties to organize 
power and guarantee civil liberties to organize ALSO in other forms of 
to organize ALSO in other forms of exercise of power as a 
VDSO thank you, I'm interested to me is how the fran it 
 Can t have overcome egos to arrive at common points of 
egos to arrive at common points of convergence in a country like 
points of convergence in a country like ours? What tools are in 
country like ours? What tools are in place to arrive at a 
are in place to arrive at a common coordination between the different 
no management team will know better than me what life, and will 
better than me what life, and will have access to the creativity 
and will have access to the creativity that comes from a group 
personally I think many people in this movement limit their political vision 
in this movement limit their political vision for a reform of the 
political vision for a reform of the state and representative system as 
of the state and representative system as politics and power are also 
@galaad why France should it remain as it? We have known for 
remain as it? We have known for some time that democracy works 
known for some time that democracy works best in smaller groups, coordinate 
democracy works best in smaller groups, coordinate the whole France is to 
groups, coordinate the whole France is to launch a challenge that we 
is to launch a challenge that we will be able to deal 
France is changing and evolving, there is today in every city people 
there is today in every city people who are open ag to 
city people who are open ag to defend their rights, blocked the 
ag to defend their rights, blocked the national scene, the problem and 
blocked the national scene, the problem and the major challenge (for me) 
problem and the major challenge (for me) is the coordination between all 
(for me) is the coordination between all its ag and all his 
 Can you do me by your conclusions in relation to the 
by your conclusions in relation to the concept works best in small 
to the concept works best in small groups? it is not currently 
in small groups? it is not currently creating this experience and the 
there are minutes of ag we can take a little from day 
we can take a little from day to day what it says 
Monday night, well drunk man dressed as Tigger attacked the participants of 
dressed as Tigger attacked the participants of Night Stand, Place du Capitole 
On this point it will be interesting to all online accounts rendered 
be interesting to all online accounts rendered ag each city, then make 
accounts rendered ag each city, then make groupings of commissions on the 
then make groupings of commissions on the same subjects, the movement of 
on the same subjects, the movement of Toulouse offers a trial component: 
I will discuss in another article that is planned, I will also 
article that is planned, I will also do a series on the 
will also do a series on the 3 mandates Thatcher etc to 
on the 3 mandates Thatcher etc to try to vary the geographic, 
(By cons I would suggest to bring out - somewhere / typo 
to bring out - somewhere / typo - about the "history and 
/ typo - about the "history and analysis of citizens' movements and 
"history and analysis of citizens' movements and initiatives and alternative policies, pitfalls 
movements and initiatives and alternative policies, pitfalls to avoid - with plural 
in the sense that it is not history to make history - 
is not history to make history - c seriously intended lesson to 
history - c seriously intended lesson to not crash Do a little 
lesson to not crash Do a little pub to this video, for 
a little pub to this video, for those who have not seen 
yes it is true that it is not just the story, in 
it is not just the story, in fact I'm trying to find 
story, in fact I'm trying to find sociologists, ethnologists to participate in 
to find sociologists, ethnologists to participate in articles in the college where 
participate in articles in the college where I am to feed and 
Or rather by adding this link to the documents you are working 
link to the documents you are working on to give other tracks, 
are working on to give other tracks, other information, perhaps a different 
And if people have access to university / authors / journalists who 
to university / authors / journalists who would be likely to answer 
journalists who would be likely to answer questions through interviews organized for 
to answer questions through interviews organized for Night Stand, it can be 
fr website: It is normal that the program is March 50 in 
Every day there are thousands to occupy public space to take our 
 Join us now, and decide together our common future in this 
decide together our common future in this political movement or party without 
Reminder: we organize the TVdebout a "AG the AG" on Friday 53 
I propose that we discuss in #agdesag you know where I can 
in #agdesag you know where I can find it, I intervened and 
I can find it, I intervened and I hope that this important 
intervened and I hope that this important speech I can make it 
 The report city / digital, I see it focused on the 
digital, I see it focused on the ability of every citizen to 
on the ability of every citizen to find the wealth of its 
citizen to find the wealth of its territory (actors operating there, initiatives 
of its territory (actors operating there, initiatives that develop there, events in 
there, initiatives that develop there, events in which I participate - meeting, 
events in which I participate - meeting, debate, theater, puppet reading, street 
 A tool approaching the digital real push for the meeting and 
 For then envisioned citizen dynamics, collective and local or even global 
 It depends on a similar application to Twitter; it works in 
similar application to Twitter; it works in a question - answer filmed 
_SE arises when frankly the question of / cities rather than / 
@yannou thank you, if you can duplicate in the channel # nuitdebout 
I am creating an information page on the wiki about the AG 
page on the wiki about the AG of the AG, I warn? 
 Already used to reference all entities (organizations - projects - events) 
all entities (organizations - projects - events) and as to evolve with 
- events) and as to evolve with new modules that put the 
evolve with new modules that put the citizen at the center of 
put the citizen at the center of local life and decisions (resource 
org is also open source and open a model that can be 
and open a model that can be a good example of organizations 
can be a good example of organizations and governance horizontal and open 
@bouboule 1 - copy paste if this is done on the description 
0), a harvesting area, a shared furniture (eg collective etc), a shared 
shared furniture (eg collective etc), a shared garden, a place of expression 
a shared garden, a place of expression (type agora Republic Square) etc 
org/2016/04/16/les-mots-de-la-nuit): release of sovereign debt by the francs (Citizens Bank of France) 
Citizen Bank of France only for notes and coins in francs redeemable 
In part against the Citizens Bank of France repays the capital of 
Bank of France repays the capital of the SOVEREIGN DEBT (no interest, 
capital of the SOVEREIGN DEBT (no interest, a way to punish wear 
The Issuing Bank controlled francs seamlessly by citizens and led to the 
seamlessly by citizens and led to the consensus of general assemblies votes, 
This currency in francs, without credit card or check, that parts and 
credit card or check, that parts and against the Exchangeable Notes, promote 
parts and against the Exchangeable Notes, promote an economy made up of 
Notes, promote an economy made up of peasants, artisans, small traders, independent 
up of peasants, artisans, small traders, independent citizens, and compete on home 
traders, independent citizens, and compete on home soil in their current use 
on home soil in their current use a currency that is not 
current use a currency that is not the black, they are francs 
Moreover, once refunded sovereign debt, which would take its meaning in a 
which would take its meaning in a democracy, this currency issued by 
in a democracy, this currency issued by Citizens Bank of France would 
issued by Citizens Bank of France would fund a social policy (socialism) 
